吉林联通,#genre#
卡酷动画,rtsp://139.215.98.88/PLTV/88888888/224/3221225548/10000100000000060000000000029596_0.smil
金鹰卡通,rtsp://139.215.98.88/PLTV/88888888/224/3221225552/10000100000000060000000000029615_0.smil
宁夏卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225739/10000100000000060000000014251669_0.smil
嘉佳卡通,rtsp://139.215.98.88/PLTV/88888888/224/3221225741/10000100000000060000000014253765_0.smil
东北戏曲,rtsp://139.215.98.88/PLTV/88888888/224/3221225539/10000100000000060000000000030319_0.smil?
女性时尚,rtsp://139.215.98.88/PLTV/88888888/224/3221225745/10000100000000060000000014253993_0.smil
环球奇观,rtsp://139.215.98.88/PLTV/88888888/224/3221225749/10000100000000060000000014254004_0.smil
早期教育,rtsp://139.215.98.88/PLTV/88888888/224/3221225777/10000100000000060000000014254030_0.smil
彩民在线,rtsp://139.215.98.88/PLTV/88888888/224/3221225785/10000100000000060000000014254035_0.smil
武术世界,rtsp://139.215.98.88/PLTV/88888888/224/3221225763/10000100000000060000000014254013_0.smil
英语辅导,rtsp://139.215.98.88/PLTV/88888888/224/3221225775/10000100000000060000000014254024_0.smil
第一剧场,rtsp://139.215.98.88/PLTV/88888888/224/3221225779/10000100000000060000000014254031_0.smil
世界地理,rtsp://139.215.98.88/PLTV/88888888/224/3221225783/10000100000000060000000014254033_0.smil
风云足球,rtsp://139.215.98.88/PLTV/88888888/224/3221225747/10000100000000060000000014253997_0.smil
央视台球,rtsp://139.215.98.88/PLTV/88888888/224/3221225743/10000100000000060000000014253990_0.smil
风云音乐,rtsp://139.215.98.88/PLTV/88888888/224/3221225751/10000100000000060000000014254005_0.smil
怀旧剧场,rtsp://139.215.98.88/PLTV/88888888/224/3221225757/10000100000000060000000014254008_0.smil
央视精品,rtsp://139.215.98.88/PLTV/88888888/224/3221225767/10000100000000060000000014254016_0.smil
兵器科技,rtsp://139.215.98.88/PLTV/88888888/224/3221225769/10000100000000060000000014254019_0.smil
靓妆频道,rtsp://139.215.98.88/PLTV/88888888/224/3221225791/10000100000000060000000014254090_0.smil
梨园频道,rtsp://139.215.98.88/PLTV/88888888/224/3221225759/10000100000000060000000014254010_0.smil
DV生活,rtsp://139.215.98.88/PLTV/88888888/224/3221225765/10000100000000060000000014254015_0.smil
汽摩频道,rtsp://139.215.98.88/PLTV/88888888/224/3221225797/10000100000000060000000014254508_0.smil
文物宝库,rtsp://139.215.98.88/PLTV/88888888/224/3221225773/10000100000000060000000014254021_0.smil
